transectlengthkm,mxobserved,densitykm2,area_surveyedkm2,Longitude,Latitude,gridsizekm2
4.14209508,15,9.053389474,1.656838032,-8.726272972,51.51462426,16000000
4.139740992,121,73.07220442,1.655896397,-7.381587924,52.04330679,16000000
4.787185893,27,14.10014182,1.914874357,-7.038135498,51.89421123,16000000
4.14198726,1,0.60357501,1.656794904,-8.263982762,51.58456923,16000000
0,0,,0,-6.816222941,51.67447328,16000000
4.140191137,5,3.019184281,1.656076455,-6.51343968,51.92026203,16000000
4.141785511,0,0,1.656714205,-7.742500905,51.65207677,16000000
0,0,,0,-8.383329138,51.29751504,16000000
0,0,,0,-7.512475165,51.61341922,16000000
0,0,,0,,,801433.5111
2.323344611,0,0,0.929337844,-6.639083039,51.74299021,16000000
4.139763125,0,0,1.65590525,-6.559836451,52.13706292,15498815.6
4.143068821,0,0,1.657227528,-8.554744279,51.37022859,16000000
0,0,,0,-5.769858572,52.54977071,16000000
4.137111742,34,20.54573463,1.654844697,-5.949068664,52.51855533,16000000
0,0,,0,-7.352223051,51.25157263,16000000
4.140849037,0,0,1.656339615,-6.925262023,51.82033411,16000000
4.139593945,0,0,1.655837578,-6.043994078,51.98135226,16000000
4.141775121,1,0.603605924,1.656710048,-8.610371804,51.58623015,16000000
2.755545608,0,0,1.102218243,,,6082572.2
4.526684183,0,0,1.810673673,-6.618230218,52.1382573,15709501.96
4.139428774,0,0,1.65577151,-6.399308804,51.88182096,16000000
0,0,,0,-7.053632408,51.53476469,16000000
0.659804587,0,0,0.263921835,-7.804088839,51.50884738,16000000
4.142130449,0,0,1.65685218,-7.91763716,51.5818863,16000000
4.789108685,0,0,1.915643474,-6.915290362,52.03597749,16000000
0,0,,0,,,452755.0477
0,0,,0,,,589191.4178
0,0,,0,-6.471459732,51.63157997,16000000
0,0,,0,-7.400767728,51.50404126,16000000
0,0,,0,,,2567191.4
0,0,,0,-6.590748996,51.56214245,16000000
4.784383999,0,0,1.9137536,-7.801255353,51.61672337,16000000
0,0,,0,,,1362969.175
0,0,,0,-7.867942956,51.25769683,16000000
4.13951574,1,0.603935377,1.655806296,-6.563757236,52.06520167,16000000
4.14225688,0,0,1.656902752,-8.495701149,51.51385967,16000000
4.140859882,6,3.622436023,1.656343953,-6.983259711,51.82134333,16000000
0,0,,0,-6.819674267,51.60259338,16000000
4.13931717,1,0.603964349,1.655726868,-6.281041864,51.91511995,16000000
4.140233029,0,0,1.656093212,-6.629663857,51.92266111,16000000
1.285027618,0,0,0.514011047,-6.347600005,51.77274405,16000000
0,0,,0,,,1927079.445
4.140403723,0,0,1.656161489,-6.631555559,51.88672747,16000000
4.141610891,0,0,1.656644356,-7.625807482,51.68673738,16000000
0,0,,0,-7.171792319,51.46472393,16000000
4.787099749,0,0,1.9148399,-7.740506502,51.72399091,16000000
4.784734073,0,0,1.913893629,-8.611597233,51.44236618,16000000
0,0,,0,-6.594541207,51.4902725,16000000
0,0,,0,-7.638711885,51.25525539,16000000
0,0,,0,-6.583117197,51.70587909,16000000
0,0,,0,,,1875.828927
4.139091082,14,8.455962749,1.655636433,-6.036873226,52.08909907,16000000
4.139702862,0,0,1.655881145,-6.623964982,52.03046042,16000000
0,0,,0,,,105236.7027
0,0,,0,-6.477438159,51.52378558,16000000
0,0,,0,-6.527242832,51.66874231,16000000
4.137784635,0,0,1.655113854,-6.017663892,52.37641082,16000000
4.139951665,150,90.58076768,1.655980666,-7.208140691,52.00482838,16000000
0,0,,0,-6.409627681,51.70218005,16000000
4.140646033,0,0,1.656258413,-6.807531542,51.85416845,16000000
4.138545117,0,0,1.655418047,-6.261314064,52.23842284,16000000
4.140139805,0,0,1.656055922,-6.10909846,51.87504397,16000000
4.140489057,3,1.811380225,1.656195623,-7.444875616,51.90029043,16000000
1.892100567,9,11.89154551,0.756840227,,,9227172.096
